Country,Cluster
Albania,5
Algeria,16
American Samoa,11
Angola,10
Anguilla (UK),16
Antigua & Barbuda,11
Argentina,6
Aruba (Netherlands),14
Ascension Isl. (UK),11
Australia,1
Azores Isl. (Portugal),16
Bahamas,11
Bahrain,11
Bangladesh,10
Barbados,13
Belgium,5
Belize,12
Benin,12
Bermuda (UK),15
Bonaire (Netherlands),14
Bosnia & Herzegovina,3
Brazil,1
Brit. Indian Ocean Terr. (UK),11
British Virgin Isl. (UK),14
Brunei Darussalam,13
Bulgaria,5
Cote d'Ivoire,3
Cambodia,10
Cameroon,13
Canada,8
Cape Verde,3
Cayman Isl. (UK),11
Channel Isl. (UK),10
Chile,2
China,10
Christmas Isl. (Australia),11
Cocos (Keeling) Isl. (Australia),11
Colombia,10
Comoros,11
Congo (ex-Zaire),12
"Congo, R. of",12
Cook Islands,11
Costa Rica,6
Croatia,3
Cuba,10
Curacao,14
Denmark,8
Djibouti,11
Dominica,13
Dominican Republic,13
Ecuador,9
Egypt,3
El Salvador,9
Equatorial Guinea,12
Eritrea,10
Estonia,5
Faeroe Isl. (Denmark),7
Falkland Isl. (UK),15
Fiji,3
Finland,1
Fishing Country Unknown,16
France,8
French Guiana,11
French Polynesia,11
Gabon,12
Gambia,1
Gaza Strip,14
Georgia,1
Germany,5
Ghana,3
Greece,3
Greenland,10
Grenada,13
Guadeloupe  (France),14
Guam (USA),14
Guatemala,12
Guinea,12
Guinea-Bissau,11
Guyana,12
Haiti,12
Honduras,12
Hong Kong,10
Iceland,7
India,2
Indonesia,2
Iran,2
Iraq,11
Ireland,8
Israel,13
Italy,3
Jamaica,13
Japan,10
Johnston Atoll (USA),16
Jordan,11
Kenya,3
Kiribati,14
Korea (North),14
Korea (South),6
Kuwait,11
Latvia,4
Lebanon,11
Liberia,12
Libya,10
Lithuania,4
Madagascar,10
Madeira Isl. (Portugal),16
Malaysia,2
Maldives,3
Malta,3
Marshall Isl.,14
Martinique (France),14
Mauritania,2
Mauritius,9
Mayotte (France),11
Mexico,2
Micronesia,11
Montenegro,3
Montserrat (UK),14
Morocco,2
Mozambique,11
Myanmar,10
Namibia,1
Nauru,11
Netherlands,5
New Caledonia (France),11
New Zealand,6
Nicaragua,12
Nigeria,3
Niue (New Zealand),11
Norfolk Isl. (Australia),11
North Cyprus,16
North Marianas (USA),11
Norway,7
Oman,2
Pakistan,10
Palau,14
Panama,1
Papua New Guinea,6
Peru,2
Philippines,13
Pitcairn (UK),11
Poland,6
Portugal,4
Puerto Rico (USA),14
Qatar,13
Reunion (France),12
Romania,5
Russian Federation,10
Saba and Saint Eustaius (Netherlands),11
Saint Helena (UK),12
Saint Kitts & Nevis,13
Saint Lucia,13
Saint Pierre & Miquelon (France),10
Saint Vincent & the Grenadines,13
Samoa,13
Sao Tome & Principe,12
Saudi Arabia,3
Senegal,1
Seychelles,6
Sierra Leone,12
Singapore,10
Sint Maarten,11
Slovenia,5
Solomon Isl.,3
Somalia,3
South Africa,2
South Cyprus,16
Spain,8
Sri Lanka,13
St Barthelemy (France),16
St Martin,11
Sudan,11
Suriname,12
Sweden,10
Syrian Arab Republic,14
Taiwan,6
Tanzania,11
Thailand,9
Timor Leste,11
Togo,12
Tokelau (New Zealand),11
Tonga,11
Trinidad & Tobago,13
Tristan da Cunha Isl. (UK),3
Tunisia,9
Turkey,2
Turks & Caicos Isl. (UK),14
Tuvalu,14
Ukraine,10
United Arab Emirates,1
United Kingdom,8
Unknown Fishing Country,16
Uruguay,10
US Virgin Isl.,14
USA,8
Vanuatu,10
Venezuela,3
Viet Nam,9
Wallis & Futuna Isl. (France),14
Yemen,7
